Žaidėjas,Data,Laikas,Lygis,Turnyras,Rezultatas,Oponentas
Ayziq : Matches,2021-12-05,14:00 UTC,A1S-Tier,eChampions League 2022 - Qualifier West,2 : 3,AdRXx
Ayziq : Matches,2018-01-20,21:00 UTC,A2A-Tier,eLigue 1 Winter 2018 - Xbox One,0 : 1,Rafsou
Ayziq : Matches,2018-01-20,16:00 UTC,A2A-Tier,eLigue 1 Winter 2018 - Xbox One,3 : 0,Juliiianoooo
Ayziq : Matches,2018-01-20,15:00 UTC,A2A-Tier,eLigue 1 Winter 2018 - Xbox One,6 : 2,Allezrennes56
Ayziq : Matches,2018-01-20,12:00 UTC,A2A-Tier,eLigue 1 Winter 2018 - Xbox One,5 : 2,Mino
Ayziq : Matches,2017-11-03,16:15 UTC,A3B-Tier,ESWC - PGW 2017 : Group Stage,0 : 2,RocKy
Ayziq : Matches,2017-11-03,15:30 UTC,A3B-Tier,ESWC - PGW 2017 : Group Stage, : ,Aero
Ayziq : Matches,2017-11-03,14:45 UTC,A3B-Tier,ESWC - PGW 2017 : Group Stage,5 : 0,Mikey
Ayziq : Matches,2017-11-03,14:00 UTC,A3B-Tier,ESWC - PGW 2017 : Group Stage,0 : 1,skyperss
Ayziq : Matches,2017-09-10,22:00 UTC,A4C-Tier,EGO European Cup,2 : 1,Ulquiorra
Ayziq : Matches,2017-09-10,21:00 UTC,A4C-Tier,EGO European Cup,9 : 1,OM7Lucas
Ayziq : Matches,2017-09-10,20:00 UTC,A4C-Tier,EGO European Cup,5 : 1,Emperatoor
Ayziq : Matches,2017-09-10,19:00 UTC,A4C-Tier,EGO European Cup,3 : 2,djin
Ayziq : Matches,2016-06-04,14:00 UTC,A3B-Tier,EA Sports FC - Finale Nationale 2016: Playoffs,0 : 2,Wiss
Ayziq : Matches,2016-06-04,13:00 UTC,A3B-Tier,EA Sports FC - Finale Nationale 2016: Group Stage,4 : 1,TPRZ
Ayziq : Matches,2016-06-04,12:00 UTC,A3B-Tier,EA Sports FC - Finale Nationale 2016: Group Stage,3 : 2,Dandan
Ayziq : Matches,2016-06-04,11:00 UTC,A3B-Tier,EA Sports FC - Finale Nationale 2016: Group Stage,2 : 3,Rondo
